
 ____________________________________________________________________________________________
 Temperature: T =    473.00000000000000      K
 Chemical potential: mu =   -750.44611807831780      eV
 Composition: x =   0.31250000000559530     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  8     44       96           -67062.37934      -61058.81040    0.296510E-03    0.308864E-05
  8     45       48           -67062.35793      -61058.78899    0.876817E-04    0.182670E-05
  8     46       96           -67062.36611      -61058.79716    0.214294E-03    0.223223E-05
  8     47      192           -67062.37410      -61058.80516    0.521454E-03    0.271591E-05
  8     48      192           -67062.38632      -61058.81738    0.703803E-03    0.366564E-05
  8     49      192           -67062.36835      -61058.79941    0.452868E-03    0.235869E-05
  8     50       48           -67062.36430      -61058.79536    0.102516E-03    0.213575E-05
  8     51       96           -67062.35851      -61058.78956    0.177846E-03    0.185256E-05
  8     52      192           -67062.41745      -61058.84850    0.151030E-02    0.786616E-05
  8     53      192           -67062.39766      -61058.82872    0.929493E-03    0.484111E-05
  8     54      192           -67062.42900      -61058.86005    0.200506E-02    0.104430E-04
  8     55       48           -67062.40622      -61058.83728    0.286705E-03    0.597301E-05
  8     56      192           -67062.41988      -61058.85093    0.160312E-02    0.834959E-05
  8     57      192           -67062.41906      -61058.85012    0.157135E-02    0.818409E-05
  8     58       96           -67062.42897      -61058.86003    0.100189E-02    0.104364E-04
  8     59      192           -67062.42367      -61058.85473    0.175968E-02    0.916500E-05
  8     60      192           -67062.43777      -61058.86883    0.248695E-02    0.129529E-04
  8     61      192           -67062.40146      -61058.83252    0.102032E-02    0.531414E-05
  8     62      192           -67062.43244      -61058.86350    0.218206E-02    0.113649E-04
  8     63      192           -67062.44145      -61058.87251    0.272187E-02    0.141764E-04
  8     64      192           -67062.39707      -61058.82812    0.916113E-03    0.477142E-05
  8     65       96           -67062.40749      -61058.83854    0.591441E-03    0.616084E-05
  8     66      192           -67062.42128      -61058.85234    0.165930E-02    0.864220E-05
  8     67      192           -67062.40120      -61058.83226    0.101388E-02    0.528061E-05
  8     68       96           -67062.35701      -61058.78806    0.171424E-03    0.178567E-05
  8     69       96           -67062.35604      -61058.78709    0.167393E-03    0.174368E-05
  8     70      192           -67062.37643      -61058.80748    0.552090E-03    0.287547E-05
  8     71       96           -67062.37170      -61058.80275    0.245812E-03    0.256055E-05
  8     72       96           -67062.39875      -61058.82981    0.477389E-03    0.497280E-05
  8     73      192           -67062.40666      -61058.83771    0.115909E-02    0.603695E-05
  8     74       96           -67062.41114      -61058.84220    0.646942E-03    0.673898E-05
  8     75       96           -67062.42871      -61058.85977    0.995596E-03    0.103708E-04
  8     76       24           -67062.40570      -61058.83675    0.141514E-03    0.589643E-05
  8     77       96           -67062.36628      -61058.79734    0.215227E-03    0.224195E-05
  8     78       96           -67062.36486      -61058.79592    0.207868E-03    0.216529E-05
  8     79       48           -67062.36441      -61058.79547    0.102783E-03    0.214131E-05
  8     80      192           -67062.39150      -61058.82256    0.799159E-03    0.416228E-05
  8     81      192           -67062.37530      -61058.80635    0.537008E-03    0.279692E-05
  8     82       96           -67062.41244      -61058.84349    0.667794E-03    0.695618E-05
  8     83       96           -67062.39691      -61058.82797    0.456307E-03    0.475319E-05
  8     84      192           -67062.42530      -61058.85635    0.183107E-02    0.953683E-05
  8     85      192           -67062.44172      -61058.87277    0.273942E-02    0.142678E-04
  8     86      192           -67062.41863      -61058.84968    0.155478E-02    0.809781E-05
  8     87       96           -67062.42418      -61058.85524    0.890808E-03    0.927925E-05
  8     88       96           -67062.41311      -61058.84416    0.678878E-03    0.707165E-05
  8     89      192           -67062.44060      -61058.87166    0.266556E-02    0.138831E-04
  8     90       48           -67062.41450      -61058.84555    0.351240E-03    0.731750E-05
  8     91       96           -67062.44096      -61058.87202    0.134454E-02    0.140056E-04
  8     92       48           -67062.47212      -61058.90318    0.144398E-02    0.300829E-04
  8     93       96           -67062.46959      -61058.90064    0.271382E-02    0.282690E-04
