
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43977067318497      eV
 Composition: x =   0.24999999999485709     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  7     28      192           -66311.94869      -61058.42518    0.734670E-03    0.382641E-05
  7     29       96           -66311.96376      -61058.44025    0.437539E-03    0.455770E-05
  7     30      192           -66311.92504      -61058.40152    0.558324E-03    0.290794E-05
  7     31       96           -66311.92608      -61058.40256    0.282542E-03    0.294314E-05
  7     32      192           -66311.94219      -61058.41868    0.681301E-03    0.354844E-05
  7     33      192           -66311.95534      -61058.43182    0.793591E-03    0.413329E-05
  7     34      192           -66311.93241      -61058.40889    0.608177E-03    0.316759E-05
  7     35      192           -66311.94584      -61058.42232    0.710753E-03    0.370184E-05
  7     36      192           -66311.96232      -61058.43880    0.860507E-03    0.448180E-05
  7     37      192           -66311.94051      -61058.41700    0.668139E-03    0.347989E-05
  7     38       96           -66311.94944      -61058.42593    0.370550E-03    0.385990E-05
  7     39      192           -66311.96984      -61058.44632    0.939006E-03    0.489066E-05
  7     40       96           -66311.93276      -61058.40924    0.305312E-03    0.318033E-05
  7     41      192           -66311.96916      -61058.44565    0.931680E-03    0.485250E-05
  7     42       96           -66311.96775      -61058.44423    0.458232E-03    0.477325E-05
  7     43       96           -66311.96666      -61058.44314    0.452477E-03    0.471331E-05
  7     44       96           -66311.99143      -61058.46791    0.603194E-03    0.628327E-05
  7     45       96           -66311.96841      -61058.44489    0.461782E-03    0.481022E-05
  7     46      192           -66311.97714      -61058.45362    0.102203E-02    0.532307E-05
  7     47      192           -66311.96119      -61058.43767    0.849346E-03    0.442367E-05
  7     48      192           -66311.99185      -61058.46833    0.121223E-02    0.631368E-05
  7     49      192           -66311.99770      -61058.47418    0.129742E-02    0.675741E-05
  7     50      192           -66311.97840      -61058.45489    0.103712E-02    0.540167E-05
  7     51       48           -66311.98007      -61058.45656    0.264351E-03    0.550731E-05
  7     52       96           -66311.96713      -61058.44362    0.454989E-03    0.473947E-05
  7     53       48           -66311.91035      -61058.38683    0.117700E-03    0.245209E-05
  7     54       96           -66311.93432      -61058.41080    0.310900E-03    0.323854E-05
  7     55      192           -66311.93864      -61058.41512    0.653781E-03    0.340511E-05
  7     56      192           -66311.94337      -61058.41985    0.690638E-03    0.359707E-05
  7     57       32           -66311.93053      -61058.40701    0.991765E-04    0.309926E-05
  7     58       96           -66311.95366      -61058.43014    0.389139E-03    0.405353E-05
  7     59       96           -66311.95312      -61058.42960    0.386708E-03    0.402821E-05
