   x           300.0          873.0         1273.0         1673.0      Infinity
  -656.500  0.703759E+00  0.116112E+01  0.126222E+01  0.131788E+01  0.150719E+01
  -656.400  0.694106E+00  0.114027E+01  0.123951E+01  0.129424E+01  0.148085E+01
  -656.300  0.685771E+00  0.111977E+01  0.121678E+01  0.127035E+01  0.145342E+01
  -656.200  0.678594E+00  0.109948E+01  0.119390E+01  0.124610E+01  0.142482E+01
  -656.100  0.672402E+00  0.107930E+01  0.117080E+01  0.122143E+01  0.139502E+01
  -656.000  0.667032E+00  0.105917E+01  0.114745E+01  0.119632E+01  0.136408E+01
  -655.900  0.662341E+00  0.103909E+01  0.112387E+01  0.117083E+01  0.133215E+01
  -655.800  0.658219E+00  0.101910E+01  0.110019E+01  0.114511E+01  0.129949E+01
  -655.700  0.654599E+00  0.999369E+00  0.107661E+01  0.111939E+01  0.126644E+01
  -655.600  0.651457E+00  0.980104E+00  0.105341E+01  0.109400E+01  0.123348E+01
  -655.500  0.648813E+00  0.961594E+00  0.103095E+01  0.106933E+01  0.120114E+01
  -655.400  0.646726E+00  0.944171E+00  0.100964E+01  0.104583E+01  0.116999E+01
  -655.300  0.645280E+00  0.928189E+00  0.989889E+00  0.102395E+01  0.114064E+01
  -655.200  0.644572E+00  0.913995E+00  0.972111E+00  0.100414E+01  0.111363E+01
  -655.100  0.644697E+00  0.901899E+00  0.956666E+00  0.986782E+00  0.108946E+01
  -655.000  0.645728E+00  0.892140E+00  0.943836E+00  0.972186E+00  0.106852E+01
  -654.900  0.647704E+00  0.884861E+00  0.933791E+00  0.960537E+00  0.105104E+01
  -654.800  0.650611E+00  0.880087E+00  0.926568E+00  0.951881E+00  0.103711E+01
  -654.700  0.654377E+00  0.877712E+00  0.922061E+00  0.946110E+00  0.102661E+01
  -654.600  0.658864E+00  0.877494E+00  0.920013E+00  0.942961E+00  0.101926E+01
  -654.500  0.663867E+00  0.879063E+00  0.920029E+00  0.942023E+00  0.101462E+01
  -654.400  0.669129E+00  0.881940E+00  0.921590E+00  0.942763E+00  0.101210E+01
  -654.300  0.674345E+00  0.885560E+00  0.924089E+00  0.944549E+00  0.101099E+01
  -654.200  0.679186E+00  0.889311E+00  0.926865E+00  0.946695E+00  0.101055E+01
