
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.43926838109940      eV
 Composition: x =   0.25000000003087003     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  9      1       16           -67812.76296      -61058.80066    0.152357E-05    0.952230E-07
  9      2       96           -67812.80679      -61058.84450    0.498263E-04    0.519024E-06
  9      3      192           -67812.77905      -61058.81675    0.340664E-04    0.177429E-06
  9      4      192           -67812.76004      -61058.79775    0.163352E-04    0.850791E-07
  9      5      192           -67812.79110      -61058.82880    0.542968E-04    0.282796E-06
  9      6      192           -67812.77669      -61058.81440    0.311039E-04    0.161999E-06
  9      7      192           -67812.78688      -61058.82459    0.461316E-04    0.240269E-06
  9      8      192           -67812.80827      -61058.84597    0.105491E-03    0.549435E-06
  9      9       96           -67812.81566      -61058.85336    0.702022E-04    0.731272E-06
  9     10       64           -67812.80977      -61058.84747    0.372673E-04    0.582302E-06
  9     11      192           -67812.79968      -61058.83738    0.756679E-04    0.394104E-06
  9     12       32           -67812.75844      -61058.79614    0.255835E-05    0.799483E-07
  9     13       96           -67812.76132      -61058.79902    0.858017E-05    0.893768E-07
  9     14      192           -67812.80434      -61058.84204    0.906142E-04    0.471949E-06
  9     15       96           -67812.81421      -61058.85191    0.663730E-04    0.691386E-06
  9     16       96           -67812.82611      -61058.86382    0.105193E-03    0.109576E-05
  9     17       96           -67812.75873      -61058.79644    0.776252E-05    0.808596E-07
  9     18       96           -67812.75730      -61058.79501    0.734622E-05    0.765231E-07
  9     19       96           -67812.77566      -61058.81337    0.149457E-04    0.155684E-06
  9     20       96           -67812.76941      -61058.80712    0.117355E-04    0.122245E-06
  9     21      192           -67812.79488      -61058.83258    0.628481E-04    0.327334E-06
  9     22      192           -67812.77850      -61058.81620    0.333506E-04    0.173701E-06
  9     23      192           -67812.78810      -61058.82581    0.483571E-04    0.251860E-06
  9     24      192           -67812.78696      -61058.82467    0.462675E-04    0.240976E-06
  9     25       48           -67812.77802      -61058.81573    0.818617E-05    0.170545E-06
  9     26       48           -67812.79165      -61058.82935    0.138661E-04    0.288877E-06
  9     27      192           -67812.81861      -61058.85632    0.157394E-03    0.819761E-06
  9     28      192           -67812.83925      -61058.87696    0.349791E-03    0.182183E-05
  9     29      192           -67812.83586      -61058.87357    0.306756E-03    0.159769E-05
  9     30       96           -67812.84881      -61058.88652    0.253102E-03    0.263648E-05
  9     31      192           -67812.84179      -61058.87950    0.385829E-03    0.200953E-05
  9     32      192           -67812.83873      -61058.87644    0.342812E-03    0.178548E-05
  9     33      192           -67812.81791      -61058.85561    0.153166E-03    0.797739E-06
  9     34       96           -67812.75800      -61058.79570    0.754523E-05    0.785961E-07
  9     35       96           -67812.77649      -61058.81420    0.154333E-04    0.160763E-06
  9     36      192           -67812.79496      -61058.83267    0.630624E-04    0.328450E-06
  9     37       96           -67812.78896      -61058.82667    0.249974E-04    0.260389E-06
  9     38      192           -67812.82654      -61058.86425    0.213931E-03    0.111422E-05
  9     39      192           -67812.80576      -61058.84347    0.957492E-04    0.498694E-06
  9     40       96           -67812.80616      -61058.84386    0.486155E-04    0.506411E-06
  9     41      192           -67812.82791      -61058.86561    0.225522E-03    0.117459E-05
  9     42       96           -67812.81007      -61058.84777    0.565513E-04    0.589076E-06
  9     43       96           -67812.84600      -61058.88371    0.227051E-03    0.236512E-05
  9     44       96           -67812.80759      -61058.84529    0.513784E-04    0.535192E-06
  9     45      192           -67812.78858      -61058.82629    0.492691E-04    0.256610E-06
  9     46      192           -67812.78535      -61058.82306    0.434739E-04    0.226427E-06
  9     47       96           -67812.80144      -61058.83915    0.405041E-04    0.421917E-06
